period,period,Virginia,Date,Month,Year,Day,month_average,month_diff
2020-01,2020-01,-1592.75,2020-01-01,1,2020,1,16141.75,-1592.75
2020-02,2020-02,-738.25,2020-02-01,2,2020,1,12685.25,-738.25
2020-03,2020-03,-1659.25,2020-03-01,3,2020,1,9227.25,-1659.25
2020-04,2020-04,290.75,2020-04-01,4,2020,1,4819.25,290.75
2020-05,2020-05,1053.0,2020-05-01,5,2020,1,3154.0,1053.0
2020-06,2020-06,79.25,2020-06-01,6,2020,1,1937.75,79.25
2020-07,2020-07,174.25,2020-07-01,7,2020,1,1634.75,174.25
2020-08,2020-08,141.5,2020-08-01,8,2020,1,1509.5,141.5
2020-09,2020-09,87.0,2020-09-01,9,2020,1,1762.0,87.0
2020-10,2020-10,-61.0,2020-10-01,10,2020,1,3354.0,-61.0
2020-11,2020-11,-2194.5,2020-11-01,11,2020,1,8400.5,-2194.5
2020-12,2020-12,1288.75,2020-12-01,12,2020,1,13770.25,1288.75
2021-01,2021-01,1353.25,2021-01-01,1,2021,1,16141.75,1353.25
2021-02,2021-02,2039.75,2021-02-01,2,2021,1,12685.25,2039.75
2021-03,2021-03,1158.75,2021-03-01,3,2021,1,9227.25,1158.75
2021-04,2021-04,732.75,2021-04-01,4,2021,1,4819.25,732.75
2021-05,2021-05,-428.0,2021-05-01,5,2021,1,3154.0,-428.0
2021-06,2021-06,-121.75,2021-06-01,6,2021,1,1937.75,-121.75
2021-07,2021-07,29.25,2021-07-01,7,2021,1,1634.75,29.25
2021-08,2021-08,-40.5,2021-08-01,8,2021,1,1509.5,-40.5
2021-09,2021-09,-80.0,2021-09-01,9,2021,1,1762.0,-80.0
2021-10,2021-10,-865.0,2021-10-01,10,2021,1,3354.0,-865.0
2021-11,2021-11,1279.5,2021-11-01,11,2021,1,8400.5,1279.5
2021-12,2021-12,-2193.25,2021-12-01,12,2021,1,13770.25,-2193.25
2022-01,2022-01,3223.25,2022-01-01,1,2022,1,16141.75,3223.25
2022-02,2022-02,905.75,2022-02-01,2,2022,1,12685.25,905.75
2022-03,2022-03,-236.25,2022-03-01,3,2022,1,9227.25,-236.25
2022-04,2022-04,-364.25,2022-04-01,4,2022,1,4819.25,-364.25
2022-05,2022-05,-245.0,2022-05-01,5,2022,1,3154.0,-245.0
2022-06,2022-06,-122.75,2022-06-01,6,2022,1,1937.75,-122.75
2022-07,2022-07,-147.75,2022-07-01,7,2022,1,1634.75,-147.75
2022-08,2022-08,-101.5,2022-08-01,8,2022,1,1509.5,-101.5
2022-09,2022-09,-2.0,2022-09-01,9,2022,1,1762.0,-2.0
2022-10,2022-10,1005.0,2022-10-01,10,2022,1,3354.0,1005.0
2022-11,2022-11,-0.5,2022-11-01,11,2022,1,8400.5,-0.5
2022-12,2022-12,1945.75,2022-12-01,12,2022,1,13770.25,1945.75
2023-01,2023-01,-2983.75,2023-01-01,1,2023,1,16141.75,-2983.75
2023-02,2023-02,-2207.25,2023-02-01,2,2023,1,12685.25,-2207.25
2023-03,2023-03,736.75,2023-03-01,3,2023,1,9227.25,736.75
2023-04,2023-04,-659.25,2023-04-01,4,2023,1,4819.25,-659.25
2023-05,2023-05,-380.0,2023-05-01,5,2023,1,3154.0,-380.0
2023-06,2023-06,165.25,2023-06-01,6,2023,1,1937.75,165.25
2023-07,2023-07,-55.75,2023-07-01,7,2023,1,1634.75,-55.75
2023-08,2023-08,0.5,2023-08-01,8,2023,1,1509.5,0.5
2023-09,2023-09,-5.0,2023-09-01,9,2023,1,1762.0,-5.0
2023-10,2023-10,-79.0,2023-10-01,10,2023,1,3354.0,-79.0
2023-11,2023-11,915.5,2023-11-01,11,2023,1,8400.5,915.5
2023-12,2023-12,-1041.25,2023-12-01,12,2023,1,13770.25,-1041.25
